bs,txt,UR,SR,SW,LR,OP,,Amount_avg,Amount_25,Amount_50,Amount_75,,Noise30_avg,Noise30_25th,Noise30_50th,Noise30_75th,,Noise10_avg,Noise10_25th,Noise10_50th,Noise10_75th,,Time_no_op,Time_avg,Time_25th,Time_50th,Time_75th,,Amount_important_avg,Amount_important_25th,Amount_important_50th,Amount_important_75th,Time (bm),N10 nearby,N10 far
11,121,1,15,90,8,0,,2797,2684,2893,3040,,695,268,594,1006,,246,0,0,70,,2976,3080,2957,3051,3168,,2770,2771,2781,2784,12,87,158
11,121,1,15,90,9,0,,2798,2684,2893,3040,,701,268,632,1004,,250,0,0,84,,2978,3073,2972,3048,3167,,2770,2771,2781,2784,12,93,156
11,121,1,15,90,10,0,,2798,2684,2893,3040,,703,268,632,1001,,249,0,0,84,,2971,3066,2949,3054,3167,,2770,2771,2781,2784,12,93,155
11,121,1,15,90,11,0,,2798,2684,2893,3040,,718,272,642,1040,,266,0,0,134,,2970,3065,2944,3046,3166,,2770,2771,2781,2784,12,110,155
11,121,1,15,90,12,0,,2798,2684,2893,3041,,732,272,642,1088,,279,0,0,231,,2971,3065,2943,3052,3170,,2770,2771,2781,2784,12,126,152
11,121,1,15,100,8,0,,2796,2684,2891,3040,,688,267,563,1006,,229,0,0,48,,2971,3066,2947,3049,3162,,2770,2771,2781,2784,12,59,169
11,121,1,15,100,9,0,,2796,2684,2892,3040,,687,259,567,1004,,226,0,0,46,,2970,3065,2953,3051,3152,,2770,2771,2781,2784,12,59,167
11,121,1,15,100,10,0,,2797,2684,2892,3040,,693,267,583,1001,,229,0,0,70,,2968,3063,2943,3048,3163,,2770,2771,2781,2784,12,64,164
11,121,1,15,100,11,0,,2797,2684,2892,3040,,708,268,594,1040,,243,0,0,84,,2970,3064,2945,3041,3169,,2770,2771,2781,2784,12,79,164
11,121,1,15,100,12,0,,2797,2684,2892,3041,,711,267,583,1088,,248,0,0,100,,2971,3065,2953,3047,3173,,2770,2771,2781,2784,12,89,159
11,121,1,15,110,8,0,,2795,2684,2891,3035,,678,252,548,997,,217,0,0,39,,2968,3062,2949,3048,3163,,2770,2771,2781,2784,12,46,171
11,121,1,15,110,9,0,,2796,2684,2892,3035,,677,231,562,991,,215,0,0,37,,2970,3064,2948,3045,3154,,2770,2771,2781,2784,12,46,168
11,121,1,15,110,10,0,,2796,2684,2892,3036,,684,259,570,990,,219,0,0,46,,2974,3069,2956,3053,3163,,2770,2771,2781,2784,12,51,167
11,121,1,15,110,11,0,,2796,2684,2892,3036,,699,267,583,1001,,233,0,0,70,,2972,3066,2943,3050,3164,,2770,2771,2781,2784,12,66,167
11,121,1,15,110,12,0,,2797,2684,2892,3037,,702,260,570,1040,,239,0,0,70,,2970,3065,2946,3053,3163,,2770,2771,2781,2784,12,73,165
11,121,1,15,120,8,0,,2794,2684,2891,3032,,675,267,531,1006,,212,0,0,37,,2976,3071,2959,3056,3171,,2770,2771,2781,2784,12,31,181
11,121,1,15,120,9,0,,2795,2684,2892,3032,,672,259,529,1004,,211,0,0,28,,2980,3075,2960,3050,3169,,2770,2771,2781,2784,12,31,180
11,121,1,15,120,10,0,,2795,2684,2892,3032,,680,267,562,1001,,213,0,0,37,,2972,3066,2954,3052,3166,,2770,2771,2781,2784,12,36,177
11,121,1,15,120,11,0,,2795,2684,2892,3032,,694,272,570,1035,,228,0,0,46,,2970,3066,2944,3043,3171,,2770,2771,2781,2784,12,50,177
11,121,1,15,120,12,0,,2795,2684,2892,3032,,698,267,562,1065,,234,0,0,61,,2975,3071,2960,3053,3168,,2770,2771,2781,2784,12,58,176
11,121,1,15,130,8,0,,2794,2684,2891,3026,,683,267,548,1006,,217,0,0,32,,2972,3067,2956,3045,3162,,2770,2771,2781,2784,12,21,196
11,121,1,15,130,9,0,,2794,2684,2892,3026,,681,259,547,1004,,216,0,0,28,,2971,3066,2944,3047,3178,,2770,2771,2781,2784,12,21,194
11,121,1,15,130,10,0,,2794,2684,2892,3026,,681,259,547,1001,,214,0,0,28,,2968,3062,2949,3053,3152,,2770,2771,2781,2784,12,21,193
11,121,1,15,130,11,0,,2795,2684,2892,3026,,694,267,562,1040,,228,0,0,37,,2967,3061,2948,3046,3156,,2770,2771,2781,2784,12,35,193
11,121,1,15,130,12,0,,2795,2684,2892,3026,,700,267,562,1082,,235,0,0,46,,2973,3067,2952,3050,3155,,2770,2771,2781,2784,12,42,193
11,121,1,15,140,8,0,,2794,2684,2891,3026,,687,267,550,1006,,218,0,0,32,,2969,3064,2947,3048,3164,,2770,2771,2781,2784,12,21,196
11,121,1,15,140,9,0,,2794,2684,2892,3026,,682,267,547,1004,,216,0,0,28,,2972,3066,2953,3049,3159,,2770,2771,2781,2784,12,21,194
11,121,1,15,140,10,0,,2794,2684,2892,3026,,682,267,547,1001,,214,0,0,28,,2969,3064,2947,3048,3164,,2770,2771,2781,2784,12,21,193
11,121,1,15,140,11,0,,2794,2684,2892,3026,,696,272,562,1040,,228,0,0,37,,2968,3063,2944,3050,3165,,2770,2771,2781,2784,12,35,193
11,121,1,15,140,12,0,,2794,2684,2892,3026,,696,272,562,1040,,228,0,0,37,,2969,3064,2951,3047,3163,,2770,2771,2781,2784,12,35,193
11,121,1,15,150,8,0,,2794,2684,2891,3026,,679,261,537,997,,210,0,0,37,,2969,3063,2943,3045,3164,,2770,2771,2781,2784,12,13,197
11,121,1,15,150,9,0,,2794,2684,2892,3026,,675,261,529,991,,207,0,0,28,,2974,3068,2953,3050,3165,,2770,2771,2781,2784,12,13,194
11,121,1,15,150,10,0,,2794,2684,2892,3026,,675,261,529,990,,206,0,0,28,,2971,3066,2950,3053,3155,,2770,2771,2781,2784,12,13,193
11,121,1,15,150,11,0,,2794,2684,2892,3026,,688,267,547,1014,,220,0,0,37,,2968,3062,2949,3046,3159,,2770,2771,2781,2784,12,27,193
11,121,1,15,150,12,0,,2794,2684,2892,3026,,688,267,547,1014,,220,0,0,37,,2973,3067,2948,3060,3165,,2770,2771,2781,2784,12,27,193
11,121,1,17,90,8,0,,2798,2689,2895,3040,,698,268,594,1005,,248,0,0,70,,2975,3070,2962,3050,3177,,2770,2771,2781,2784,12,90,157
11,121,1,17,90,9,0,,2799,2689,2896,3040,,704,268,623,1004,,252,0,0,84,,2999,3094,2985,3082,3188,,2770,2771,2781,2784,12,96,156
11,121,1,17,90,10,0,,2799,2689,2896,3040,,705,268,623,1001,,251,0,0,84,,2969,3063,2947,3036,3166,,2770,2771,2781,2784,12,96,154
11,121,1,17,90,11,0,,2799,2689,2896,3040,,718,272,632,1040,,265,0,0,134,,2969,3064,2949,3047,3160,,2770,2771,2781,2784,12,110,154
11,121,1,17,90,12,0,,2799,2689,2896,3041,,733,272,632,1088,,278,0,0,231,,2971,3066,2947,3048,3164,,2770,2772,2781,2784,12,127,151
11,121,1,17,100,8,0,,2797,2689,2892,3040,,688,267,563,1005,,228,0,0,48,,2970,3064,2950,3043,3160,,2770,2771,2781,2784,12,59,169
11,121,1,17,100,9,0,,2797,2689,2893,3040,,687,259,567,1004,,226,0,0,46,,2968,3062,2935,3047,3157,,2770,2771,2781,2784,12,59,167
11,121,1,17,100,10,0,,2797,2689,2893,3040,,693,267,583,1001,,229,0,0,70,,2971,3066,2947,3042,3163,,2770,2771,2781,2784,12,64,164
11,121,1,17,100,11,0,,2798,2689,2893,3040,,708,268,594,1040,,243,0,0,84,,2974,3069,2956,3053,3167,,2770,2771,2781,2784,12,79,164
11,121,1,17,100,12,0,,2798,2689,2893,3041,,711,267,583,1088,,248,0,0,100,,2969,3064,2944,3049,3156,,2770,2772,2781,2784,12,89,159
11,121,1,17,110,8,0,,2796,2689,2892,3035,,678,259,551,997,,217,0,0,39,,2978,3072,2959,3046,3169,,2770,2771,2781,2784,12,46,170
11,121,1,17,110,9,0,,2797,2689,2893,3035,,677,238,562,989,,215,0,0,37,,2971,3065,2951,3048,3158,,2770,2771,2781,2784,12,46,168
11,121,1,17,110,10,0,,2797,2689,2893,3036,,684,259,570,988,,219,0,0,46,,2967,3062,2949,3043,3162,,2770,2771,2781,2784,12,51,167
11,121,1,17,110,11,0,,2797,2689,2893,3036,,699,267,583,1001,,233,0,0,70,,2970,3065,2944,3048,3161,,2770,2771,2781,2784,12,66,167
11,121,1,17,110,12,0,,2798,2689,2893,3038,,704,260,570,1082,,239,0,0,70,,2969,3064,2948,3044,3159,,2770,2772,2781,2784,12,73,165
11,121,1,17,120,8,0,,2795,2689,2892,3032,,674,267,537,1005,,212,0,0,37,,2969,3064,2948,3047,3166,,2770,2771,2781,2784,12,31,181
11,121,1,17,120,9,0,,2795,2689,2893,3032,,672,259,537,1004,,211,0,0,28,,2972,3066,2954,3046,3165,,2770,2771,2781,2784,12,31,180
11,121,1,17,120,10,0,,2795,2689,2893,3032,,680,267,562,1001,,213,0,0,37,,2976,3071,2951,3060,3162,,2770,2771,2781,2784,12,36,177
11,121,1,17,120,11,0,,2796,2689,2893,3032,,694,272,570,1035,,228,0,0,46,,3287,3386,3044,3219,3749,,2770,2771,2781,2784,12,50,177
11,121,1,17,120,12,0,,2796,2689,2893,3032,,698,267,562,1065,,234,0,0,61,,2972,3067,2949,3044,3162,,2770,2771,2781,2784,12,58,176
11,121,1,17,130,8,0,,2795,2689,2892,3026,,682,267,551,1005,,216,0,0,32,,2972,3067,2953,3046,3166,,2770,2771,2781,2784,12,21,195
11,121,1,17,130,9,0,,2795,2689,2893,3026,,680,259,550,1004,,216,0,0,28,,2970,3065,2948,3047,3169,,2770,2771,2781,2784,12,21,194
11,121,1,17,130,10,0,,2795,2689,2893,3026,,680,259,550,1001,,214,0,0,28,,2970,3064,2950,3050,3158,,2770,2771,2781,2784,12,21,193
