BS,txt,UR,SR,SW,LR,OP,Image,,Amount,Noise 30,Noise 10,Time (no op),Time,,Amount_important,Time (bm),N10 nearby,N10 far
7,98,2,4,50,3,0,0,,76299,740,0,3109,3209,,67260,12,0,0
7,98,2,4,50,3,0,1,,76800,0,0,3442,3535,,67260,12,0,0
7,98,2,4,50,3,0,2,,76800,460,405,3613,3707,,67260,12,229,176
7,98,2,4,50,3,0,3,,76800,303,133,3657,3750,,67260,12,133,0
7,98,2,4,50,3,0,4,,76800,9,9,3719,3814,,67260,12,6,3
7,98,2,4,50,3,2,0,,76200,728,0,3109,4600,,67260,12,0,0
7,98,2,4,50,3,2,1,,76800,0,0,3442,4964,,67260,12,0,0
7,98,2,4,50,3,2,2,,76799,446,436,3613,5073,,67260,12,229,207
7,98,2,4,50,3,2,3,,76800,250,98,3657,5150,,67260,12,98,0
7,98,2,4,50,3,2,4,,76800,12,7,3719,5157,,67260,12,2,5
7,98,2,4,50,8,0,0,,76299,740,0,3139,3233,,67260,12,0,0
7,98,2,4,50,8,0,1,,76800,0,0,3418,3511,,67260,12,0,0
7,98,2,4,50,8,0,2,,76800,478,423,3575,3670,,67260,12,247,176
7,98,2,4,50,8,0,3,,76800,303,133,3657,3753,,67260,12,133,0
7,98,2,4,50,8,0,4,,76800,9,9,3724,3819,,67260,12,6,3
7,98,2,4,50,8,2,0,,76200,728,0,3139,4633,,67260,12,0,0
7,98,2,4,50,8,2,1,,76800,0,0,3418,4949,,67260,12,0,0
7,98,2,4,50,8,2,2,,76799,455,445,3575,5075,,67260,12,238,207
7,98,2,4,50,8,2,3,,76800,250,98,3657,5158,,67260,12,98,0
7,98,2,4,50,8,2,4,,76800,12,7,3724,5158,,67260,12,2,5
7,98,2,4,80,3,0,0,,76271,740,0,3114,3210,,67260,12,0,0
7,98,2,4,80,3,0,1,,76800,0,0,3410,3504,,67260,12,0,0
7,98,2,4,80,3,0,2,,76792,651,444,3604,3699,,67260,12,0,444
7,98,2,4,80,3,0,3,,76798,0,0,3622,3717,,67260,12,0,0
7,98,2,4,80,3,0,4,,76800,9,9,3731,3825,,67260,12,6,3
7,98,2,4,80,3,2,0,,76175,728,0,3114,4604,,67260,12,0,0
7,98,2,4,80,3,2,1,,76800,0,0,3410,4922,,67260,12,0,0
7,98,2,4,80,3,2,2,,76788,656,464,3604,5053,,67260,12,0,464
7,98,2,4,80,3,2,3,,76796,0,0,3622,5093,,67260,12,0,0
7,98,2,4,80,3,2,4,,76800,12,7,3731,5154,,67260,12,2,5
7,98,2,4,80,8,0,0,,76271,740,0,3140,3235,,67260,12,0,0
7,98,2,4,80,8,0,1,,76800,0,0,3415,3508,,67260,12,0,0
7,98,2,4,80,8,0,2,,76792,688,481,3602,3697,,67260,12,37,444
7,98,2,4,80,8,0,3,,76798,0,0,3633,3727,,67260,12,0,0
7,98,2,4,80,8,0,4,,76800,9,9,3712,3805,,67260,12,6,3
7,98,2,4,80,8,2,0,,76175,728,0,3140,4634,,67260,12,0,0
7,98,2,4,80,8,2,1,,76800,0,0,3415,4935,,67260,12,0,0
7,98,2,4,80,8,2,2,,76788,674,482,3602,5056,,67260,12,18,464
7,98,2,4,80,8,2,3,,76796,0,0,3633,5140,,67260,12,0,0
7,98,2,4,80,8,2,4,,76800,12,7,3712,5136,,67260,12,2,5
7,98,2,9,50,3,0,0,,76368,750,0,3021,3118,,67260,12,0,0
7,98,2,9,50,3,0,1,,76800,10,0,3308,3402,,67260,12,0,0
7,98,2,9,50,3,0,2,,76800,292,229,3506,3601,,67260,12,229,0
7,98,2,9,50,3,0,3,,76800,303,133,3528,3621,,67260,12,133,0
7,98,2,9,50,3,0,4,,76800,6,6,3631,3726,,67260,12,6,0
7,98,2,9,50,3,2,0,,76254,735,0,3021,4542,,67260,12,0,0
7,98,2,9,50,3,2,1,,76800,7,0,3308,4859,,67260,12,0,0
7,98,2,9,50,3,2,2,,76800,266,229,3506,5018,,67260,12,229,0
7,98,2,9,50,3,2,3,,76800,250,98,3528,5080,,67260,12,98,0
7,98,2,9,50,3,2,4,,76800,8,6,3631,5112,,67260,12,4,2
7,98,2,9,50,8,0,0,,76368,750,0,3024,3118,,67260,12,0,0
7,98,2,9,50,8,0,1,,76800,10,0,3285,3379,,67260,12,0,0
7,98,2,9,50,8,0,2,,76800,310,247,3502,3595,,67260,12,247,0
7,98,2,9,50,8,0,3,,76800,323,153,3563,3656,,67260,12,153,0
7,98,2,9,50,8,0,4,,76800,6,6,3629,3723,,67260,12,6,0
7,98,2,9,50,8,2,0,,76256,735,0,3024,4517,,67260,12,0,0
7,98,2,9,50,8,2,1,,76800,7,0,3285,4846,,67260,12,0,0
7,98,2,9,50,8,2,2,,76800,275,238,3502,5022,,67260,12,238,0
7,98,2,9,50,8,2,3,,76800,256,98,3563,5105,,67260,12,98,0
7,98,2,9,50,8,2,4,,76800,8,6,3629,5119,,67260,12,4,2
7,98,2,9,80,3,0,0,,76368,750,0,2984,3078,,67260,12,0,0
7,98,2,9,80,3,0,1,,76800,10,0,3312,3406,,67260,12,0,0
7,98,2,9,80,3,0,2,,76800,612,61,3506,3600,,67260,12,0,61
7,98,2,9,80,3,0,3,,76800,0,0,3523,3615,,67260,12,0,0
7,98,2,9,80,3,0,4,,76800,6,6,3635,3728,,67260,12,6,0
7,98,2,9,80,3,2,0,,76254,735,0,2984,4485,,67260,12,0,0
7,98,2,9,80,3,2,1,,76800,7,0,3312,4858,,67260,12,0,0
7,98,2,9,80,3,2,2,,76798,644,109,3506,5009,,67260,12,0,109
7,98,2,9,80,3,2,3,,76800,0,0,3523,5050,,67260,12,0,0
7,98,2,9,80,3,2,4,,76800,8,6,3635,5104,,67260,12,4,2
7,98,2,9,80,8,0,0,,76368,750,0,2986,3080,,67260,12,0,0
7,98,2,9,80,8,0,1,,76800,10,0,3310,3402,,67260,12,0,0
7,98,2,9,80,8,0,2,,76800,649,98,3501,3593,,67260,12,37,61
7,98,2,9,80,8,0,3,,76800,20,0,3526,3619,,67260,12,0,0
